Date,FNER (index),ARE,BXP,BDN,CIO,CDP,CUZ,CMCT,DEI,DEA,ESRT,EQC,FSP,HIW,HPP,KRC,NLOP,OPI,ONL,PGRE,PDM,SLG,VNO,COLD,EGP,FR,ILPT,IIPR,LXP,PLYM,PLD,REXR,STAG,TRNO,AKR,ALEX,BRX,CTO,FRT,IVT,KIM,KRG,PECO,REG,ROIC,BFS,SITC,SKT,UE,WHLR,WSR,CBL,MAC,SPG,ADC,PINE,EPRT,FCPT,GTY,NTST,NNN,PSTL,O,AIRC,AIV,AVB,BRT,CPT,CSR,ELME,EQR,ESS,IRT,MAA,NXRT,UDR,VRE,ELS,SUI,UMH,AMH,BHM,INVH,ALX,AAT,AHH,BNL,CLPR,GIPR,GOOD,GNL,JBGS,MDRR,MDV,NXDT,OLP,PKST,SQFT,SVC,WPC,AHR,CTRE,CHCT,DHC,GMRE,HR,DOC,LTC,MPW,NHI,OHI,SBRA,STRW,UHT,VTR,WELL,APLE,AHT,BHR,CLDT,DRH,HST,IHT,PK,PEB,RLJ,RHP,SOHO,INN,SHO,XHR,CUBE,EXR,SELF,NSA,PSA,PCH,RYN,WY,AMT,CCI,SBAC,UNIT,DLR,EQIX,GLPI,VICI,EPR,FPI,LAND,IRM,LAMR,OUT,PW,SAFE
4/29/2019, 723.2400 , 120.6838 , 107.5689 , 9.8264 , 8.2005 , 22.2078 , 30.5846 , 35.4255 , 32.8051 , 13.3260 , 13.9718 , 20.2927 , 5.8386 , 32.8613 , 27.3552 , 62.3511 , N/A , 17.0156 , N/A , 11.8823 , 15.0731 , 62.2427 , 52.6813 , 27.7502 , 99.1397 , 31.0633 , 16.0288 , 66.8645 , 7.2281 , 13.9453 , 66.4976 , 33.4059 , 23.1154 , 39.4373 , 23.4016 , 19.7086 , 13.9994 , 12.0801 , 108.1752 , 14.0988 , 13.8383 , 12.2809 , N/A , 54.0287 , 14.7241 , 40.7740 , 10.9432 , 14.1821 , 15.0786 , 24.7000 , 9.5390 , N/A , 30.0844 , 131.7959 , 54.9552 , N/A , 16.1931 , 21.9606 , 24.6144 , N/A , 40.9346 , N/A , 53.6198 , N/A , 4.5835 , 166.6471 , 10.6593 , 84.3381 , 48.2037 , 22.7109 , 62.6803 , 234.4108 , 8.6881 , 91.5630 , 31.2018 , 37.1185 , 21.5735 , 51.3534 , 108.2090 , 11.1752 , 21.8759 , N/A , 21.8157 , 266.7778 , 37.7636 , 12.2658 , N/A , 10.0239 , N/A , 14.2055 , 10.6130 , 35.3166 , 45.4066 , N/A , 13.9240 , 18.9666 , N/A , N/A , 19.9693 , 57.2522 , N/A , 18.3963 , 28.8246 , 6.9940 , 6.9032 , 23.7931 , 23.3143 , 32.7468 , 11.8646 , 54.6167 , 23.5496 , 12.6405 , N/A , 63.4698 , 48.2622 , 61.0954 , 13.4441 , 513.8458 , 11.7737 , 17.6047 , 10.0886 , 16.5866 , 1.5244 , 23.9266 , 31.0034 , 16.3726 , 71.3669 , 6.1122 , 10.3444 , 13.0614 , 18.9536 , 25.8301 , 86.0460 , 2.8840 , 23.0928 , 176.2329 , 29.5330 , 26.3323 , 21.5259 , 170.7228 , 101.9420 , 191.0089 , 7.5703 , 97.8500 , 411.2148 , 29.9000 , 17.4159 , 58.4771 , 5.7082 , 10.6344 , 23.7518 , 65.6490 , 19.0207 , 6.0900 , 35.9812 
4/30/2019, 728.1400 , 121.9686 , 109.3487 , 9.9623 , 8.1724 , 22.4331 , 30.9403 , 35.1530 , 33.2408 , 13.4833 , 14.0172 , 20.2291 , 5.9138 , 33.1664 , 27.4260 , 62.4811 , N/A , 16.9035 , N/A , 11.9899 , 15.2119 , 63.0854 , 53.0187 , 27.9247 , 100.3420 , 31.2672 , 16.2498 , 65.5027 , 7.2924 , 14.2490 , 67.6356 , 34.0347 , 23.2284 , 39.7399 , 23.4016 , 19.7086 , 14.0861 , 12.1094 , 109.1785 , 14.0988 , 13.8942 , 12.3513 , N/A , 54.4584 , 14.8170 , 40.4706 , 10.8939 , 13.8974 , 15.0542 , 24.1000 , 9.6594 , N/A , 29.2041 , 130.2586 , 53.5643 , N/A , 16.4476 , 22.1553 , 24.7211 , N/A , 41.4785 , N/A , 54.1895 , N/A , 4.6342 , 169.1046 , 10.5465 , 85.5536 , 48.7946 , 22.7511 , 63.6126 , 238.5055 , 8.7211 , 93.1379 , 31.8128 , 37.5867 , 21.8361 , 51.9769 , 109.5081 , 11.0962 , 22.1999 , N/A , 21.9215 , 271.9499 , 37.7881 , 12.2886 , N/A , 9.9932 , N/A , 14.4988 , 10.6577 , 35.4750 , 47.8283 , N/A , 13.9171 , 19.2247 , N/A , N/A , 20.0619 , 58.2211 , N/A , 18.7049 , 29.2171 , 7.0290 , 7.0132 , 24.0817 , 23.4957 , 33.1738 , 12.0091 , 54.8348 , 23.8120 , 12.7448 , N/A , 64.0309 , 49.2372 , 62.3845 , 13.4769 , 511.9875 , 11.7399 , 17.7580 , 10.1729 , 16.5952 , 1.5623 , 24.0465 , 30.8895 , 16.3548 , 70.8418 , 6.2996 , 10.3623 , 13.0072 , 19.1840 , 26.0587 , 86.9178 , 2.8916 , 23.4129 , 179.4706 , 29.3207 , 26.5494 , 21.8025 , 173.2601 , 103.7400 , 194.7562 , 7.4617 , 98.3430 , 416.6115 , 30.2446 , 17.5700 , 59.5801 , 5.7698 , 10.7533 , 24.0855 , 66.0244 , 18.8781 , 6.0200 , 35.6522 
5/1/2019, 734.8700 , 121.6260 , 109.5871 , 9.9105 , 8.0949 , 22.4089 , 30.7786 , 34.0630 , 33.3538 , 13.5432 , 14.0444 , 20.3500 , 5.9138 , 33.3523 , 27.6148 , 62.8141 , N/A , 16.6793 , N/A , 12.0478 , 15.1973 , 63.0568 , 53.0341 , 28.0468 , 100.9301 , 31.3824 , 16.3645 , 65.9490 , 7.2522 , 14.2186 , 68.4560 , 34.3581 , 23.7692 , 39.9001 , 23.6419 , 19.7253 , 14.0467 , 12.0605 , 109.1703 , 14.0988 , 13.9022 , 12.4921 , N/A , 54.5638 , 14.9521 , 40.7513 , 10.9597 , 13.8743 , 15.0948 , 23.3000 , 9.5115 , N/A , 29.1168 , 133.2957 , 53.4416 , N/A , 16.4078 , 22.0462 , 24.8278 , N/A , 41.5021 , N/A , 54.1817 , N/A , 4.6323 , 169.2982 , 10.5164 , 85.3326 , 48.3898 , 22.6625 , 63.6958 , 239.5018 , 8.7705 , 93.0017 , 32.3643 , 37.2104 , 21.9018 , 52.2441 , 110.1220 , 11.0330 , 22.1073 , N/A , 21.8510 , 272.5682 , 37.7063 , 11.7038 , N/A , 9.8094 , N/A , 14.8788 , 10.6130 , 35.3166 , 47.8283 , N/A , 13.9101 , 19.0889 , N/A , N/A , 20.0388 , 58.1183 , N/A , 18.6894 , 29.0649 , 7.0465 , 7.1232 , 23.9647 , 23.6141 , 33.1149 , 11.9885 , 54.8857 , 23.7246 , 12.7252 , N/A , 63.4382 , 49.2452 , 62.6690 , 13.4439 , 524.0669 , 11.2078 , 18.0196 , 10.2384 , 16.8022 , 1.5907 , 24.2564 , 30.8042 , 16.3015 , 71.5004 , 6.3085 , 10.3891 , 13.0253 , 19.0953 , 26.3119 , 88.8458 , 2.8690 , 23.6929 , 180.1440 , 29.8971 , 26.6413 , 21.6723 , 171.1397 , 102.6430 , 194.8327 , 7.4006 , 98.2845 , 412.3144 , 30.1247 , 17.5931 , 59.9806 , 5.6906 , 10.6260 , 23.6999 , 65.3295 , 18.6800 , 6.0400 , 36.1045 
5/2/2019, 731.6200 , 120.7095 , 107.4577 , 9.8588 , 8.0455 , 22.2722 , 30.4230 , 34.0630 , 33.2328 , 13.4982 , 14.0081 , 20.3182 , 5.9138 , 33.1366 , 27.7485 , 62.4892 , N/A , 16.3803 , N/A , 11.9899 , 15.1681 , 61.9571 , 52.1139 , 28.0206 , 98.8851 , 31.0012 , 16.5118 , 65.0411 , 7.2040 , 14.3780 , 67.3357 , 34.3132 , 23.5674 , 40.1760 , 23.7911 , 19.4333 , 14.2200 , 12.0000 , 109.3742 , 14.0988 , 14.3736 , 12.6173 , N/A , 54.2882 , 15.0365 , 40.5464 , 11.1160 , 14.0589 , 14.6732 , 22.2300 , 9.4812 , N/A , 29.9898 , 133.3333 , 53.9979 , N/A , 16.3045 , 22.2488 , 24.8507 , N/A , 41.7859 , N/A , 54.3597 , N/A , 4.6060 , 169.5339 , 10.5240 , 84.9841 , 48.0256 , 22.4692 , 63.5959 , 238.9783 , 8.6799 , 93.2741 , 31.8382 , 37.0098 , 21.5266 , 52.4535 , 110.1843 , 10.9699 , 22.2277 , N/A , 21.8333 , 275.6610 , 37.7881 , 12.1747 , N/A , 9.8401 , N/A , 14.3122 , 10.5795 , 34.9664 , 48.2521 , N/A , 13.9240 , 19.1976 , N/A , N/A , 20.0851 , 58.1991 , N/A , 18.7280 , 29.3132 , 7.1078 , 7.0338 , 23.9959 , 24.0954 , 33.1959 , 12.1398 , 54.7330 , 23.8591 , 12.7578 , N/A , 63.3750 , 49.5756 , 63.0708 , 13.5181 , 527.7837 , 11.0558 , 18.1729 , 10.1729 , 16.9057 , 1.5623 , 24.3913 , 31.2311 , 16.2926 , 71.4114 , 6.2996 , 10.9692 , 13.0162 , 19.7688 , 26.3609 , 89.2398 , 2.8614 , 24.0690 , 184.0794 , 29.8061 , 26.4826 , 21.5259 , 171.0422 , 102.2966 , 195.1960 , 7.1629 , 99.2536 , 426.0578 , 30.0873 , 17.5931 , 59.8219 , 5.6554 , 10.5496 , 23.3885 , 64.2274 , 18.5771 , 6.0000 , 35.8167 
5/3/2019, 735.1500 , 121.8915 , 107.0524 , 9.9300 , 8.3696 , 22.5940 , 30.6816 , 34.0630 , 33.5475 , 13.7379 , 14.2257 , 20.3563 , 5.9966 , 33.5383 , 27.7800 , 63.2853 , N/A , 17.6945 , N/A , 12.0643 , 15.3726 , 61.8785 , 52.1061 , 28.2823 , 99.6750 , 31.4356 , 16.7165 , 66.3259 , 7.3487 , 14.2869 , 67.7238 , 34.5826 , 23.9306 , 40.3896 , 23.9402 , 20.2426 , 14.3382 , 12.0840 , 108.4526 , 14.0988 , 14.5414 , 12.8989 , N/A , 54.1585 , 15.1209 , 42.2608 , 11.2559 , 14.2898 , 14.8435 , 23.1000 , 9.6556 , N/A , 30.4264 , 134.5406 , 54.2842 , N/A , 16.5033 , 22.4202 , 25.2090 , N/A , 42.1328 , N/A , 54.4139 , N/A , 4.6990 , 170.1398 , 10.5615 , 85.7066 , 49.2479 , 22.8478 , 63.7541 , 240.0589 , 8.8940 , 93.5124 , 33.0347 , 37.1854 , 21.9862 , 52.7608 , 110.0686 , 11.0172 , 22.4776 , N/A , 21.9480 , 276.6777 , 37.7554 , 12.4709 , N/A , 10.1617 , N/A , 14.4788 , 10.7248 , 35.2249 , 47.4045 , N/A , 13.8825 , 19.6799 , N/A , N/A , 20.2857 , 58.1550 , N/A , 18.9825 , 29.6976 , 7.4142 , 7.1301 , 24.4092 , 24.5106 , 33.8659 , 12.4493 , 55.5617 , 24.0408 , 13.0314 , N/A , 65.8486 , 50.3410 , 63.9916 , 13.6088 , 525.9253 , 11.3852 , 18.3803 , 10.3040 , 17.1473 , 1.5528 , 24.7211 , 31.6770 , 16.5680 , 72.5951 , 6.3799 , 11.0852 , 13.1607 , 20.3713 , 26.5161 , 89.0889 , 2.8916 , 24.1090 , 183.9901 , 30.6403 , 27.1424 , 21.7862 , 171.1753 , 102.9234 , 197.8057 , 7.4345 , 100.8410 , 437.0344 , 30.3194 , 17.6162 , 59.7917 , 5.8138 , 10.7363 , 23.4330 , 65.1299 , 18.9335 , 6.0600 , 36.0223 
5/6/2019, 735.1500 , 121.5232 , 106.3214 , 9.9105 , 8.3696 , 22.6503 , 30.6170 , 33.9903 , 33.5556 , 13.7604 , 14.2711 , 20.4836 , 6.0116 , 33.5383 , 27.8036 , 63.1797 , N/A , 17.4578 , N/A , 12.0561 , 15.4457 , 61.5571 , 51.9513 , 28.2213 , 97.7530 , 31.2140 , 16.6919 , 64.6718 , 7.3728 , 14.2490 , 67.2563 , 34.2233 , 23.8580 , 40.2116 , 23.9651 , 20.2844 , 14.3224 , 11.8516 , 108.3383 , 14.0988 , 14.6053 , 12.9380 , N/A , 53.7531 , 15.1632 , 42.6629 , 11.2312 , 14.5053 , 14.9326 , 23.1000 , 9.6936 , N/A , 30.8193 , 133.5658 , 54.4070 , N/A , 16.5033 , 22.5604 , 25.1785 , N/A , 42.4008 , N/A , 54.1508 , N/A , 4.6718 , 168.8017 , 10.6668 , 85.7576 , 48.9808 , 22.8478 , 63.4378 , 239.6536 , 8.7787 , 93.4954 , 33.1874 , 37.1018 , 22.1550 , 52.8009 , 110.2554 , 10.7803 , 22.3665 , N/A , 21.9127 , 271.6298 , 36.8397 , 12.2734 , N/A , 9.9856 , N/A , 14.4455 , 10.7807 , 35.0498 , 47.2229 , N/A , 13.8271 , 19.4353 , N/A , N/A , 20.3243 , 57.8834 , N/A , 18.9517 , 29.6736 , 7.3179 , 7.0407 , 24.1596 , 24.1832 , 33.8585 , 12.3255 , 55.2928 , 23.8457 , 12.9663 , N/A , 66.6706 , 49.9865 , 63.6149 , 13.6418 , 526.8546 , 11.4781 , 18.3984 , 10.1541 , 17.1473 , 1.5244 , 23.8816 , 31.6485 , 16.5414 , 72.5506 , 6.3888 , 11.2102 , 13.1969 , 20.3802 , 26.4589 , 89.0637 , 2.8163 , 23.9970 , 184.0470 , 30.4811 , 27.2844 , 21.6398 , 170.4922 , 102.9070 , 196.9645 , 7.5499 , 99.7465 , 438.4453 , 30.3644 , 17.5315 , 59.8672 , 5.8138 , 10.6599 , 23.0622 , 65.7369 , 18.9890 , 5.9400 , 36.4335 
5/7/2019, 724.1000 , 119.5017 , 104.5495 , 9.7681 , 8.2780 , 22.2561 , 30.0350 , 33.9903 , 32.7002 , 13.4084 , 13.8630 , 20.2927 , 5.8085 , 33.0771 , 27.5440 , 61.9449 , N/A , 16.7478 , N/A , 11.8492 , 15.0146 , 60.3860 , 51.5873 , 27.7240 , 96.4452 , 30.4604 , 16.3563 , 61.1559 , 7.2683 , 14.3097 , 65.5625 , 33.6305 , 23.3656 , 39.6865 , 23.3270 , 19.7670 , 14.0073 , 11.5703 , 105.8424 , 14.0988 , 14.3496 , 12.6799 , N/A , 52.7964 , 14.8086 , 41.7147 , 11.0502 , 14.4899 , 14.6084 , 22.5000 , 9.5722 , N/A , 30.0045 , 130.5061 , 53.1961 , N/A , 16.2885 , 22.1553 , 24.4695 , N/A , 41.1947 , N/A , 51.5732 , N/A , 4.6079 , 165.6204 , 10.6593 , 84.2106 , 47.8556 , 22.2839 , 62.2391 , 235.4745 , 8.6470 , 91.9206 , 32.2964 , 36.4161 , 21.5172 , 51.6651 , 108.4048 , 10.3854 , 21.9036 , N/A , 21.7011 , 271.5942 , 37.0441 , 12.2278 , N/A , 9.9396 , N/A , 14.3522 , 10.6074 , 34.4495 , 46.9202 , N/A , 13.7026 , 19.2859 , N/A , N/A , 19.9771 , 57.0320 , N/A , 18.5352 , 29.3933 , 7.0903 , 6.9995 , 23.8087 , 23.7999 , 33.2695 , 12.1329 , 54.5440 , 23.5833 , 12.7578 , N/A , 65.0188 , 49.1244 , 63.0959 , 13.5676 , 511.0581 , 11.2839 , 17.9835 , 9.9387 , 16.6987 , 1.5244 , 23.3794 , 30.5575 , 16.2393 , 75.7367 , 6.3085 , 11.1120 , 12.8536 , 20.0435 , 26.1649 , 87.3118 , 2.7786 , 23.7249 , 180.6472 , 29.5027 , 26.7248 , 21.1761 , 168.4251 , 101.6368 , 195.3489 , 7.5364 , 98.1007 , 435.1469 , 29.4581 , 17.2618 , 58.3260 , 5.7610 , 10.6090 , 22.8842 , 64.6108 , 19.0128 , 6.0300 , 36.1045 
5/8/2019, 723.2800 , 119.7330 , 103.7470 , 9.6969 , 8.3133 , 22.1515 , 30.0350 , 35.2802 , 32.7405 , 13.2136 , 13.8812 , 20.1846 , 5.7332 , 32.8539 , 27.0562 , 61.9611 , N/A , 16.6980 , N/A , 11.8409 , 15.0146 , 59.9718 , 51.1072 , 26.8953 , 97.0508 , 30.3363 , 16.1434 , 61.9252 , 7.2442 , 14.4615 , 65.6243 , 33.6035 , 23.3334 , 39.7933 , 23.3684 , 20.1008 , 14.0703 , 11.6250 , 105.6466 , 14.0988 , 14.3736 , 12.6877 , N/A , 52.9261 , 14.8254 , 41.1078 , 11.1078 , 14.3206 , 14.5354 , 22.1000 , 9.4964 , N/A , 30.1823 , 129.6137 , 53.6543 , N/A , 15.9625 , 22.2566 , 24.4619 , N/A , 41.1159 , N/A , 51.7203 , N/A , 4.6107 , 165.3343 , 10.6893 , 83.9386 , 48.0256 , 22.2275 , 61.9644 , 235.1116 , 8.6223 , 92.7548 , 33.9172 , 36.4579 , 21.4234 , 51.2910 , 107.7909 , 10.4407 , 21.7833 , N/A , 21.5512 , 272.2767 , 37.0441 , 12.3494 , N/A , 9.9549 , N/A , 14.3322 , 10.5627 , 34.4162 , 36.3253 , N/A , 13.6196 , 19.3810 , N/A , N/A , 19.9076 , 56.9880 , N/A , 18.6586 , 29.1130 , 6.9765 , 6.9238 , 23.5670 , 23.7120 , 33.0487 , 12.1260 , 54.6458 , 24.2090 , 12.8751 , N/A , 65.3507 , 49.2049 , 63.0206 , 13.3615 , 509.1998 , 11.1656 , 17.9114 , 9.7888 , 16.4486 , 1.5150 , 23.0196 , 30.2729 , 16.0972 , 74.3038 , 6.2817 , 10.9692 , 12.6368 , 20.0966 , 26.2139 , 86.6999 , 2.7635 , 23.4129 , 180.3875 , 28.9566 , 26.2404 , 20.8506 , 170.0131 , 102.0327 , 198.7808 , 7.6043 , 98.3179 , 438.8577 , 29.5180 , 17.1231 , 58.2277 , 5.5851 , 10.6175 , 22.9806 , 64.0038 , 19.5752 , 6.0600 , 35.8578 
5/9/2019, 721.1700 , 120.6067 , 103.9854 , 9.6257 , 8.3344 , 22.2078 , 30.0027 , 35.2983 , 32.7970 , 13.4233 , 13.9265 , 20.3182 , 5.7408 , 32.9804 , 27.1113 , 62.1642 , N/A , 16.7727 , N/A , 11.8492 , 15.1023 , 60.0575 , 51.3085 , 26.8168 , 98.1128 , 30.5668 , 16.1680 , 61.2405 , 7.3326 , 14.2794 , 65.8448 , 33.7832 , 23.5432 , 40.0247 , 23.3602 , 20.0882 , 14.2043 , 11.5820 , 105.2632 , 14.0988 , 14.3896 , 12.6564 , N/A , 53.0072 , 14.8592 , 41.0547 , 11.2065 , 13.9820 , 14.4300 , 22.0000 , 9.5874 , N/A , 30.0638 , 130.3111 , 54.0388 , N/A , 16.1852 , 22.3189 , 24.6144 , N/A , 41.2972 , N/A , 52.1383 , N/A , 4.6389 , 167.0848 , 10.6517 , 84.8736 , 48.3980 , 22.1872 , 62.2807 , 236.4708 , 8.6881 , 93.3422 , 35.0882 , 36.5499 , 21.3953 , 51.5360 , 108.6005 , 10.5039 , 21.8851 , N/A , 21.7628 , 271.7294 , 37.4447 , 12.4633 , N/A , 9.9856 , N/A , 14.4522 , 10.4677 , 34.3828 , 29.9684 , N/A , 13.5920 , 19.6052 , N/A , N/A , 19.9848 , 57.2596 , N/A , 18.6663 , 29.0889 , 7.2479 , 7.0957 , 23.9413 , 23.9596 , 33.3137 , 12.1054 , 55.0674 , 24.5925 , 12.5558 , N/A , 65.8328 , 49.7045 , 63.6819 , 13.5016 , 511.9875 , 11.0220 , 17.9745 , 10.0043 , 16.3968 , 1.5244 , 22.9971 , 30.1021 , 16.3726 , 74.5264 , 6.3442 , 11.0763 , 12.7994 , 20.0966 , 26.5242 , 87.0016 , 2.7786 , 23.6209 , 180.8581 , 28.9794 , 26.4408 , 20.8750 , 170.7938 , 102.2966 , 198.1786 , 7.6450 , 98.2511 , 436.6678 , 29.6828 , 17.0075 , 58.1447 , 5.6906 , 10.5411 , 22.9658 , 64.2514 , 19.7970 , 6.0600 , 36.1868 
5/10/2019, 726.9700 , 122.2599 , 105.0501 , 9.7099 , 8.4330 , 22.5135 , 30.0673 , 35.1530 , 33.3296 , 13.6181 , 13.9174 , 20.4009 , 5.8461 , 33.1796 , 27.2765 , 62.9604 , N/A , 16.5921 , N/A , 11.9899 , 15.1608 , 60.3789 , 51.6493 , 26.9302 , 98.4200 , 30.7884 , 16.2089 , 62.4946 , 7.3889 , 14.4995 , 66.6564 , 34.1964 , 23.8176 , 40.4163 , 23.6585 , 20.0546 , 14.3776 , 11.6328 , 105.5161 , 14.0988 , 14.6532 , 12.9302 , N/A , 53.6167 , 15.0281 , 41.0850 , 11.4616 , 14.1128 , 14.5354 , 22.4000 , 9.7391 , N/A , 30.8119 , 131.3910 , 54.6279 , N/A , 16.2090 , 22.4669 , 24.5534 , N/A , 41.6361 , N/A , 52.8194 , N/A , 4.6840 , 168.9195 , 10.6893 , 85.8341 , 48.9970 , 22.3725 , 63.1215 , 239.6368 , 8.8858 , 94.5169 , 35.0543 , 37.1268 , 21.4984 , 52.1239 , 109.4013 , 10.5118 , 22.0240 , N/A , 22.0714 , 271.7294 , 37.1667 , 12.4861 , N/A , 10.1081 , N/A , 14.4788 , 10.7136 , 34.8313 , 30.2650 , N/A , 13.5850 , 19.8905 , N/A , N/A , 20.0697 , 58.0816 , N/A , 19.0597 , 29.6416 , 7.1341 , 7.3570 , 24.0661 , 24.2231 , 33.4830 , 12.2980 , 55.7508 , 24.8617 , 12.8686 , N/A , 66.9472 , 50.3974 , 64.8956 , 13.6170 , 506.4122 , 10.9967 , 17.9564 , 10.0979 , 16.5693 , 1.5244 , 23.0496 , 30.1685 , 16.6569 , 75.2917 , 6.3799 , 11.1031 , 12.9169 , 20.0346 , 26.8019 , 88.7536 , 2.7711 , 23.8770 , 182.9840 , 29.3055 , 26.4659 , 20.7856 , 173.5794 , 103.6575 , 201.1228 , 8.0048 , 98.2344 , 439.6273 , 29.9599 , 17.2772 , 58.4997 , 5.6994 , 10.5920 , 23.2476 , 64.6667 , 19.8287 , 5.9600 , 36.5569 
5/13/2019, 727.8700 , 122.2256 , 104.0569 , 9.6581 , 8.4189 , 22.5135 , 29.7117 , 35.1349 , 33.1440 , 13.6331 , 13.8630 , 20.3245 , 5.7031 , 32.9390 , 26.9225 , 62.0261 , N/A , 16.5423 , N/A , 11.8989 , 15.0950 , 60.3075 , 51.1769 , 26.5550 , 98.3322 , 30.5136 , 16.2089 , 61.5406 , 7.3648 , 14.4919 , 66.2153 , 34.0437 , 23.6401 , 40.1938 , 23.4762 , 19.4497 , 14.3146 , 11.5526 , 105.3774 , 14.0988 , 14.4535 , 12.7816 , N/A , 53.9848 , 14.8339 , 40.9637 , 11.4287 , 14.2744 , 14.5840 , 22.0000 , 9.6329 , N/A , 30.8044 , 131.2335 , 54.8652 , N/A , 15.9863 , 22.6851 , 24.5000 , N/A , 41.9436 , N/A , 53.0207 , N/A , 4.6802 , 168.8606 , 10.4864 , 85.6896 , 48.5922 , 22.2275 , 63.1298 , 239.4426 , 8.8199 , 94.5595 , 34.8506 , 37.1101 , 21.3202 , 52.3822 , 110.6558 , 10.4249 , 22.0610 , N/A , 21.9039 , 277.4030 , 37.5510 , 12.4861 , N/A , 9.8937 , N/A , 14.3522 , 10.7136 , 34.4038 , 30.5133 , N/A , 13.3222 , 19.7954 , N/A , N/A , 19.9771 , 58.3092 , N/A , 19.2911 , 29.6015 , 7.2303 , 7.3157 , 24.3936 , 24.7183 , 33.5419 , 12.3392 , 56.7249 , 25.0568 , 12.8229 , N/A , 66.3940 , 51.0984 , 65.7675 , 13.5593 , 486.8990 , 10.7180 , 17.8302 , 9.9199 , 16.2416 , 1.4676 , 22.5998 , 29.4855 , 16.3015 , 74.7666 , 6.2817 , 10.9067 , 12.7904 , 19.4498 , 26.9815 , 90.2121 , 2.8238 , 23.9090 , 185.5724 , 28.6305 , 26.1903 , 20.4520 , 174.6617 , 104.1689 , 200.0523 , 7.7876 , 97.5075 , 436.3472 , 29.7502 , 17.3003 , 58.9833 , 5.7258 , 10.4732 , 23.2847 , 63.9878 , 19.6069 , 5.8200 , 35.9812 
5/14/2019, 732.6800 , 123.2192 , 105.6858 , 9.6969 , 8.4260 , 22.5377 , 30.1967 , 35.4982 , 33.3216 , 13.8278 , 13.9628 , 20.3372 , 5.7934 , 33.1120 , 27.0955 , 62.3348 , N/A , 16.7602 , N/A , 12.0478 , 15.1169 , 60.9430 , 51.3705 , 27.0000 , 98.4200 , 30.8062 , 16.2744 , 63.1947 , 7.3567 , 14.6286 , 66.4270 , 34.0437 , 23.6481 , 40.2650 , 23.6502 , 19.6765 , 14.2909 , 11.6387 , 104.9369 , 14.0988 , 14.5494 , 12.6955 , N/A , 54.3447 , 14.8508 , 41.6767 , 11.4040 , 14.2590 , 14.7624 , 22.0000 , 9.7391 , N/A , 31.1600 , 132.1709 , 55.1842 , N/A , 16.4635 , 22.5994 , 24.8202 , N/A , 42.0460 ,, 53.4154 , N/A , 4.6699 , 168.1116 , 10.6743 , 86.0211 , 48.2927 , 22.0180 , 63.1048 , 238.5731 , 8.9105 , 94.9000 , 34.8167 , 37.0934 , 21.4609 , 52.2219 , 109.8106 , 10.5450 , 21.9592 , N/A , 21.9482 , 276.6564 , 37.6001 , 12.5240 , N/A , 9.9243 , N/A , 14.4322 , 10.8421 , 34.5379 , 29.1813 , N/A , 13.3571 , 20.0399 , N/A , N/A , 20.0697 , 58.5441 , N/A , 19.3913 , 29.3372 , 7.1341 , 7.3570 , 24.5826 , 24.6624 , 33.6450 , 12.3667 , 56.8848 , 25.0635 , 12.9402 , N/A , 66.3307 , 51.1548 , 66.0977 , 13.6253 , 489.6866 , 10.7602 , 17.9023 , 10.0979 , 16.3796 , 1.4676 , 22.7423 , 29.6562 , 16.3903 , 75.6477 , 6.3442 , 10.9514 , 12.9259 , 19.8042 , 26.8427 , 89.3822 , 2.8313 , 23.9490 , 184.7610 , 28.6608 , 25.9648 , 20.3219 , 175.7175 , 104.6555 , 200.2434 , 7.3463 , 97.6579 , 443.4571 , 29.6079 , 17.1539 , 59.0362 , 5.7434 , 10.7193 , 23.5739 , 64.3792 , 19.7099 , 6.0200 , 36.1414 
